GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minum,com.renomad.minum,Context,0,69,0,0,0,23,0,15,0,15
minum,com.renomad.minum,ConfigErrorMessage,0,6,0,0,0,4,0,2,0,2
minum,com.renomad.minum,Constants,6,251,1,3,3,45,1,7,0,6
minum,com.renomad.minum.web,FunctionalTesting.TestResponse,21,49,3,3,5,7,4,2,1,2
minum,com.renomad.minum.web,HttpVersion,0,21,0,0,0,2,0,1,0,1
minum,com.renomad.minum.web,Headers,14,290,7,27,0,59,7,26,0,16
minum,com.renomad.minum.web,StartLine.Verb,0,57,0,0,0,10,0,1,0,1
minum,com.renomad.minum.web,InputStreamUtils,45,234,10,22,7,54,11,12,1,6
minum,com.renomad.minum.web,WebEngine,42,342,12,12,6,56,12,19,1,18
minum,com.renomad.minum.web,Response,13,70,0,0,4,15,2,8,2,8
minum,com.renomad.minum.web,SetOfSws,30,114,3,5,4,22,4,9,1,8
minum,com.renomad.minum.web,StartLine.PathDetails,0,20,0,0,0,2,0,2,0,2
minum,com.renomad.minum.web,StatusLine,14,77,3,4,1,13,3,4,0,3
minum,com.renomad.minum.web,FunctionalTesting,30,180,4,4,6,39,4,9,2,7
minum,com.renomad.minum.web,FullSystem,97,266,8,10,27,53,13,11,5,10
minum,com.renomad.minum.web,StatusLine.StatusCode,0,295,0,2,0,42,0,5,0,4
minum,com.renomad.minum.web,SocketWrapper,0,113,0,2,0,27,0,15,0,14
minum,com.renomad.minum.web,Server,22,265,4,8,3,56,7,20,3,18
minum,com.renomad.minum.web,BodyProcessor,39,482,8,40,5,99,8,26,0,10
minum,com.renomad.minum.web,WebFramework,74,728,17,55,15,137,19,54,3,34
minum,com.renomad.minum.web,Body,0,61,0,2,0,16,0,9,0,8
minum,com.renomad.minum.web,StartLine,17,324,8,26,3,59,9,25,1,16
minum,com.renomad.minum.web,Request,0,29,0,0,0,2,0,2,0,2
minum,com.renomad.minum.web,WebFramework.VerbPath,0,9,0,0,0,1,0,1,0,1
minum,com.renomad.minum.testing,TestFramework,67,382,6,32,0,69,6,25,0,12
minum,com.renomad.minum.testing,TestFailureException,0,4,0,0,0,2,0,1,0,1
minum,com.renomad.minum.testing,RegexUtils,2,40,2,2,0,9,2,3,0,3
minum,com.renomad.minum.testing,StopwatchUtils,0,18,0,0,0,7,0,3,0,3
minum,com.renomad.minum.database,DbData,0,3,0,0,0,1,0,1,0,1
minum,com.renomad.minum.database,Db,34,537,8,36,6,119,10,31,2,17
minum,com.renomad.minum.utils,ByteUtils,0,22,0,2,0,4,0,2,0,1
minum,com.renomad.minum.utils,SearchUtils,6,39,0,6,2,8,0,6,0,3
minum,com.renomad.minum.utils,ConcurrentSet,0,43,0,0,0,12,0,7,0,7
minum,com.renomad.minum.utils,StacktraceUtils,0,24,0,0,0,5,0,2,0,2
minum,com.renomad.minum.utils,StringUtils,4,113,2,12,0,31,2,13,0,8
minum,com.renomad.minum.utils,TimeUtils,0,6,0,0,0,1,0,1,0,1
minum,com.renomad.minum.utils,SerializationUtils,2,106,2,8,0,19,2,6,0,3
